Graph_type;Vertexes;Edges;Algorithm;Time;Path
Полный;10;45;Дейкстра;7483;4
Полный;10;45;Беллман-Форд;16508;4
Полный;10;45;Флойд-Уоршелл;24691;4
Полный;10;45;A*;6558;4
Полный;60;1770;Дейкстра;63166;3
Полный;60;1770;Беллман-Форд;3353958;3
Полный;60;1770;Флойд-Уоршелл;3967341;3
Полный;60;1770;A*;68058;3
Полный;110;5995;Дейкстра;184108;3
Полный;110;5995;Беллман-Форд;19494824;3
Полный;110;5995;Флойд-Уоршелл;24391275;3
Полный;110;5995;A*;215633;3
Полный;160;12720;Дейкстра;179000;2
Полный;160;12720;Беллман-Форд;60650083;2
Полный;160;12720;Флойд-Уоршелл;73727091;2
Полный;160;12720;A*;186625;2
Полный;210;21945;Дейкстра;682208;3
Полный;210;21945;Беллман-Форд;128485025;3
Полный;210;21945;Флойд-Уоршелл;155805100;3
Полный;210;21945;A*;617808;3
Полный;260;33670;Дейкстра;604941;2
Полный;260;33670;Беллман-Форд;240654891;2
Полный;260;33670;Флойд-Уоршелл;289477083;2
Полный;260;33670;A*;601183;2
Полный;310;47895;Дейкстра;772275;2
Полный;310;47895;Беллман-Форд;403220708;2
Полный;310;47895;Флойд-Уоршелл;489829958;2
Полный;310;47895;A*;823133;2
Полный;360;64620;Дейкстра;1048516;2
Полный;360;64620;Беллман-Форд;637355558;2
Полный;360;64620;Флойд-Уоршелл;762048566;2
Полный;360;64620;A*;1084433;2
Полный;410;83845;Дейкстра;1311066;2
Полный;410;83845;Беллман-Форд;934193433;2
Полный;410;83845;Флойд-Уоршелл;1135003199;2
Полный;410;83845;A*;1370041;2
Полный;460;105570;Дейкстра;1677383;2
Полный;460;105570;Беллман-Форд;1325369516;2
Полный;460;105570;Флойд-Уоршелл;1604357749;2
Полный;460;105570;A*;1662916;2
Полный;510;129795;Дейкстра;2021166;2
Полный;510;129795;Беллман-Форд;1803987583;2
Полный;510;129795;Флойд-Уоршелл;2192411358;2
Полный;510;129795;A*;2207733;2
Полный;560;156520;Дейкстра;2381692;2
Полный;560;156520;Беллман-Форд;2421874641;2
Полный;560;156520;Флойд-Уоршелл;2907894500;2
Полный;560;156520;A*;2376716;2
Полный;610;185745;Дейкстра;2774099;2
Полный;610;185745;Беллман-Форд;3131596342;2
Полный;610;185745;Флойд-Уоршелл;3761291908;2
Полный;610;185745;A*;2874966;2
Полный;660;217470;Дейкстра;3137508;2
Полный;660;217470;Беллман-Форд;3962972483;2
Полный;660;217470;Флойд-Уоршелл;4824739908;2
Полный;660;217470;A*;3508250;2
Полный;710;251695;Дейкстра;3563900;2
Полный;710;251695;Беллман-Форд;5275337775;2
Полный;710;251695;Флойд-Уоршелл;5923256125;2
Полный;710;251695;A*;3859208;2
Полный;760;288420;Дейкстра;769250;1
Полный;760;288420;Беллман-Форд;6032735816;1
Полный;760;288420;Флойд-Уоршелл;7296743866;1
Полный;760;288420;A*;809316;1
Полный;810;327645;Дейкстра;4685841;2
Полный;810;327645;Беллман-Форд;7403822425;2
Полный;810;327645;Флойд-Уоршелл;9403689283;2
Полный;810;327645;A*;5681316;2
Полный;860;369370;Дейкстра;5249300;2
Полный;860;369370;Беллман-Форд;8745234041;2
Полный;860;369370;Флойд-Уоршелл;10522577891;2
Полный;860;369370;A*;5632983;2
Полный;910;413595;Дейкстра;5972391;2
Полный;910;413595;Беллман-Форд;10364484916;2
Полный;910;413595;Флойд-Уоршелл;12454224758;2
Полный;910;413595;A*;6493141;2
Полный;960;460320;Дейкстра;6226383;2
Полный;960;460320;Беллман-Форд;12167047674;2
Полный;960;460320;Флойд-Уоршелл;14638449858;2
Полный;960;460320;A*;7991658;2
Полный;1010;509545;Дейкстра;6835183;2
Полный;1010;509545;Беллман-Форд;14661528458;2
Полный;1010;509545;Флойд-Уоршелл;17059965674;2
Полный;1010;509545;A*;7738233;2
Связный;10;16;Дейкстра;5733;12
Связный;10;16;Беллман-Форд;7533;12
Связный;10;16;Флойд-Уоршелл;15675;12
Связный;10;16;A*;5074;12
Связный;60;695;Дейкстра;58416;5
Связный;60;695;Беллман-Форд;1261800;5
Связный;60;695;Флойд-Уоршелл;3830283;5
Связный;60;695;A*;57600;5
Связный;110;2383;Дейкстра;124225;4
Связный;110;2383;Беллман-Форд;7595083;4
Связный;110;2383;Флойд-Уоршелл;22527317;4
Связный;110;2383;A*;125616;4
Связный;160;5122;Дейкстра;165875;3
Связный;160;5122;Беллман-Форд;23263616;3
Связный;160;5122;Флойд-Уоршелл;69255092;3
Связный;160;5122;A*;165333;3
Связный;210;8802;Дейкстра;267716;3
Связный;210;8802;Беллман-Форд;52148383;3
Связный;210;8802;Флойд-Уоршелл;155036516;3
Связный;210;8802;A*;276616;3
Связный;260;13462;Дейкстра;481375;3
Связный;260;13462;Беллман-Форд;98162433;3
Связный;260;13462;Флойд-Уоршелл;292387833;3
Связный;260;13462;A*;513958;3
Связный;310;19121;Дейкстра;79458;1
Связный;310;19121;Беллман-Форд;165678675;1
Связный;310;19121;Флойд-Уоршелл;495008891;1
Связный;310;19121;A*;84458;1
Связный;360;25843;Дейкстра;695133;3
Связный;360;25843;Беллман-Форд;259354083;3
Связный;360;25843;Флойд-Уоршелл;776800866;3
Связный;360;25843;A*;949658;3
Связный;410;33614;Дейкстра;462308;2
Связный;410;33614;Беллман-Форд;383340808;2
Связный;410;33614;Флойд-Уоршелл;1143514875;2
Связный;410;33614;A*;473241;2
Связный;460;41838;Дейкстра;561074;2
Связный;460;41838;Беллман-Форд;534611025;2
Связный;460;41838;Флойд-Уоршелл;1624492067;2
Связный;460;41838;A*;568016;2
Связный;510;52107;Дейкстра;1387233;3
Связный;510;52107;Беллман-Форд;737486825;3
Связный;510;52107;Флойд-Уоршелл;2204659858;3
Связный;510;52107;A*;1516399;3
Связный;560;62986;Дейкстра;874666;2
Связный;560;62986;Беллман-Форд;977923949;2
Связный;560;62986;Флойд-Уоршелл;2914149583;2
Связный;560;62986;A*;904641;2
Связный;610;74441;Дейкстра;992891;2
Связный;610;74441;Беллман-Форд;1261164283;2
Связный;610;74441;Флойд-Уоршелл;3761290074;2
